UKATEGORIE;UART;ULICHTVERH;XGCSWGS84;YGCSWGS84;STRZUSTAND;GEN_K
"3";"5";"0";8.29894599700;51.85406797000;"1";Gütersloh
"3";"3";"0";7.22544134400;51.47423909800;"1";Bochum
"3";"0";"2";7.09333520300;50.73599417700;"0";Bonn
"3";"1";"0";7.43782053000;52.27589740000;"1";Steinfurt
"3";"5";"2";7.01356567800;52.08323010000;"1";Borken
"3";"1";"2";7.66191553900;51.54080037600;"0";Unna
"3";"3";"0";6.92854117400;50.91691193300;"1";Köln
"3";"5";"0";7.22770494200;51.77093131900;"0";Recklinghausen
"2";"5";"2";7.80820114600;51.66453349600;"1";Hamm
"3";"5";"0";7.07588149600;51.56696139300;"0";Gelsenkirchen
"3";"5";"2";6.75697484800;51.43695880400;"1";Duisburg
"2";"5";"0";6.92837083100;52.06509901500;"1";Borken
"2";"5";"0";7.14013343200;51.59819541100;"1";Recklinghausen
"3";"3";"0";7.10383569300;50.98406930400;"1";Rheinisch-Bergischer Kreis
"3";"0";"0";6.59363569700;50.65704491600;"0";Euskirchen
"3";"5";"0";6.76009253000;51.23148422700;"1";Düsseldorf
"3";"2";"0";7.47261112100;51.36258157200;"1";Hagen
"2";"5";"0";7.04529020100;51.02789014600;"0";Leverkusen
"3";"1";"0";7.01997614500;50.93336475200;"1";Köln
"3";"5";"0";6.91491144800;51.60905347400;"1";Bottrop
"2";"0";"2";8.46620129500;51.92830278400;"0";Gütersloh
"3";"5";"2";7.20556485300;51.27039272400;"0";Wuppertal
"2";"5";"2";6.98207000800;50.94322401200;"1";Köln
"2";"5";"2";7.17584921900;51.25750272800;"1";Wuppertal
"3";"6";"0";8.60791058800;52.03029831000;"1";Bielefeld
"3";"5";"0";7.59560116000;52.09275276600;"1";Steinfurt
"2";"5";"2";6.91154607100;51.13163282200;"1";Düsseldorf
"3";"5";"2";6.80211057500;51.25275343100;"0";Düsseldorf
"2";"5";"0";8.50156293300;51.89987725400;"0";Gütersloh
"2";"5";"2";7.03927776100;52.18181537000;"1";Borken
"3";"5";"2";8.30061836500;51.83900429500;"1";Gütersloh
"3";"6";"2";8.30785172400;51.34848102000;"1";Hochsauerlandkreis
"3";"5";"0";6.84154674000;51.47688667100;"0";Oberhausen
"3";"5";"0";7.82743789300;51.67067564700;"0";Hamm
"3";"5";"0";7.83046905600;51.70338926000;"0";Hamm
"3";"3";"2";7.21137104200;51.50867834800;"0";Bochum
"3";"0";"0";7.21643679800;51.47322173000;"0";Bochum
"2";"3";"2";6.93864430700;50.90596478000;"1";Köln
"3";"5";"1";7.56311168900;51.92526020700;"1";Münster
"2";"5";"2";8.14523720100;51.82897463700;"1";Warendorf
"3";"5";"0";8.16111085500;51.83263933400;"0";Warendorf
"3";"5";"2";7.90703939300;51.76131731600;"1";Warendorf
"3";"5";"0";7.88461049000;51.68628955300;"1";Hamm
"1";"3";"0";7.85285189800;52.18992486600;"0";Steinfurt
"3";"5";"0";7.45297514700;51.51362695100;"1";Dortmund
"3";"0";"0";7.00203500500;52.21380231600;"0";Borken
"3";"0";"0";7.04663841500;51.57157796100;"1";Gelsenkirchen
